Timestamp,Do you like blue more than red?,Do you like yellow more than green?,Do you like purple more than orange?,What percentage of your t-shirts are mostly white?,What percentage of your t-shirts are mostly black?
2022/10/21 5:46:54 PM EST,No,No,Yes,0 - 5%,6 - 30%
2022/10/24 2:18:34 PM EST,Yes,No,No,31 - 70%,31 - 70%
2022/10/24 2:22:12 PM EST,Yes,No,No,31 - 70%,31 - 70%
2022/10/24 2:24:20 PM EST,Yes,No,Yes,0 - 5%,6 - 30%
2022/10/24 2:25:41 PM EST,No,No,No,31 - 70%,31 - 70%
2022/10/24 2:28:07 PM EST,Yes,No,Yes,6 - 30%,6 - 30%
2022/10/24 2:30:09 PM EST,Yes,No,Yes,6 - 30%,31 - 70%
2022/10/24 2:30:22 PM EST,Yes,No,Yes,6 - 30%,6 - 30%
2022/10/24 2:30:25 PM EST,Yes,No,Yes,31 - 70%,6 - 30%
2022/10/24 2:30:36 PM EST,Yes,Yes,No,6 - 30%,71 - 95%
2022/10/24 2:30:52 PM EST,Yes,No,No,6 - 30%,31 - 70%
2022/10/24 2:30:55 PM EST,Yes,No,No,6 - 30%,0 - 5%
2022/10/24 2:31:00 PM EST,Yes,Yes,Yes,6 - 30%,31 - 70%
2022/10/24 2:31:01 PM EST,Yes,Yes,Yes,6 - 30%,31 - 70%
2022/10/24 2:31:05 PM EST,No,No,Yes,31 - 70%,0 - 5%
2022/10/24 2:31:15 PM EST,Yes,No,Yes,0 - 5%,0 - 5%
2022/10/24 2:31:20 PM EST,No,Yes,Yes,31 - 70%,31 - 70%
2022/10/24 2:31:25 PM EST,Yes,No,Yes,0 - 5%,6 - 30%
2022/10/24 2:31:27 PM EST,No,No,No,6 - 30%,31 - 70%
2022/10/24 2:31:27 PM EST,Yes,No,No,0 - 5%,31 - 70%
2022/10/24 2:31:30 PM EST,Yes,No,Yes,6 - 30%,31 - 70%
2022/10/24 2:31:40 PM EST,No,Yes,No,6 - 30%,6 - 30%
2022/10/24 2:31:40 PM EST,No,No,Yes,31 - 70%,31 - 70%
2022/10/24 2:31:46 PM EST,No,Yes,No,6 - 30%,71 - 95%
2022/10/24 2:31:49 PM EST,Yes,No,No,6 - 30%,71 - 95%
2022/10/24 2:31:55 PM EST,Yes,Yes,Yes,96-100%,96-100%
2022/10/24 2:31:57 PM EST,Yes,No,Yes,71 - 95%,31 - 70%
2022/10/24 2:32:05 PM EST,Yes,No,No,0 - 5%,96-100%
2022/10/24 2:32:07 PM EST,No,No,No,0 - 5%,0 - 5%
2022/10/24 2:32:15 PM EST,Yes,No,No,6 - 30%,31 - 70%
2022/10/24 2:32:18 PM EST,Yes,No,Yes,6 - 30%,71 - 95%
2022/10/24 2:32:26 PM EST,Yes,No,Yes,6 - 30%,0 - 5%
2022/10/24 2:32:31 PM EST,No,Yes,No,6 - 30%,0 - 5%
2022/10/24 2:32:41 PM EST,No,No,Yes,6 - 30%,6 - 30%
